ticker,company,sector,esg_total,pred_Ridge,pred_RandomForest,pred_XGBoost,best_pred,inconsistency,inconsistency_z,inconsistency_quintile,log_market_cap,revenue,net_income,total_debt,ebitda,roe,roa,profit_margin,debt_equity,current_ratio,beta,pe_ratio,pb_ratio,employees,controversy
MMM,3M,Industrials,23.828302478526588,23.629729013909795,25.21201525532107,25.15723,23.629729013909795,0.1985734646167927,0.08148264669893582,Q3,25.045265910929647,24948000768,3249999872,13132000256,6016000000.0,0.75501,0.075840004,0.13027,276.638,1.708,1.131,23.879799,16.131723,60500,1
AOS,A. O. Smith,Industrials,15.760095362557028,24.807081222098002,24.662703554342897,22.85077,24.807081222098002,-9.046985859540975,-1.4560369532777546,Q1 (most under-rated),22.910286998250555,3830200064,546200000,203900000,813100032.0,0.29197,0.14257,0.1426,10.974,1.497,1.304,16.732468,4.8035192,11500,0
ABT,Abbott Laboratories,Health Care,29.002707174838743,25.419304621278012,26.689644708117065,28.081535,25.419304621278012,3.583402553560731,0.6443735313233374,Q4,25.920113125549204,44328001536,6499999744,14136000512,12033000448.0,0.12961,0.066300005,0.14718,26.787,1.576,0.744,27.9543,3.4642549,115000,3
ABBV,AbbVie,Health Care,30.143388298347283,28.92200106883573,22.154754934051976,22.232218,28.92200106883573,1.2213872295115529,0.25157470446580343,Q3,26.63779219424117,61160001536,4185999872,68400001024,29254000640.0,62.25,0.09807,0.0691,83.578,0.671,0.334,88.35443,-113.189186,57000,3
ACN,Accenture,Information Technology,15.293788868076982,23.851414926656577,31.156944295834315,25.313879,23.851414926656577,-8.557626058579595,-1.374657313708209,Q1 (most under-rated),25.498455625901503,72110325760,7648264192,8347366912,12735312896.0,0.24763,0.11163,0.10606,25.469,1.336,1.251,15.799837,3.7941768,786000,3
ADBE,Adobe Inc.,Information Technology,19.18692295882609,25.19704004439698,29.812737843058773,28.445665,25.19704004439698,-6.01011708557089,-0.951011232406991,Q1 (most under-rated),25.28479183109245,24452999168,7208000000,6670000128,9516000256.0,0.58774,0.18905,0.29477,58.34,0.912,1.532,13.677344,8.339489,31360,0
AMD,Advanced Micro Devices,Information Technology,27.76704241900371,27.57471969432624,28.420590887425945,28.254972,27.57471969432624,0.1923227246774708,0.08044316008335023,Q3,26.520316074681027,34638999552,4268999936,4006000128,6744999936.0,0.07082,0.032,0.12515001,6.359,2.85,2.022,77.39081,5.226132,31000,0
AES,AES Corporation,Utilities,27.602544445938506,31.808710156627118,36.52179344847503,37.73297,31.808710156627118,-4.206165710688612,-0.6510174192648028,Q2,23.024149746147504,12232999936,939000000,30943000576,3475000064.0,0.01954,0.02544,0.07439,259.393,0.766,0.941,10.687023,2.4539878,8336,3
AFL,Aflac,Financials,31.899193054974265,34.0399257388844,36.47113768535463,38.391613,34.0399257388844,-2.1407326839101337,-0.30753968581784563,Q2,24.744519211903533,17164000256,3646000128,12586999808,4789000192.0,0.13118,0.025390001,0.21242,42.682,1.07,0.65,15.602639,1.8716033,12716,1
A,Agilent Technologies,Health Care,19.38173643455852,23.713276974240696,27.032393597039675,26.67294,23.713276974240696,-4.331540539682177,-0.6718670239412503,Q2,24.16305049220701,7064999936,1290000000,3550000128,1971000064.0,0.19945998,0.08533,0.18259001,51.39,2.066,1.312,24.335539,4.5113764,18000,2
APD,Air Products,Materials,39.77638784917697,36.59803018992008,37.61167335212833,37.146076,36.59803018992008,3.178357659256889,0.5770153064687935,Q4,24.898542826862244,12208300032,-325700000,18192300032,849800000.0,-0.01667,-0.01105,-0.02733,101.991,1.459,0.864,24.5092985,4.2214227,21087,3
ABNB,Airbnb,Consumer Discretionary,41.66675161257369,36.19286675691401,33.05009921507945,33.287792,36.19286675691401,5.4738848556596835,0.9587572793450914,Q5 (most over-rated),25.02275675177269,12241000448,2511000064,2271000064,2574000128.0,0.30233,0.07367,0.20513001,27.698,1.377,1.163,30.488832,9.021293,8200,0
AKAM,Akamai Technologies,Information Technology,27.396184185367296,26.265016982869547,29.6244607790808,27.378609,26.265016982869547,1.1311672024977497,0.23657127903953426,Q3,23.53204718461361,4208175104,452031008,5675387904,1180878976.0,0.091730006,0.035940003,0.10742,114.024,2.363,0.704,37.296417,3.328972,11000,0
ALB,Albemarle Corporation,Materials,41.263447241808194,36.182172629902325,37.53454086607439,35.68076,36.182172629902325,5.081274611905869,0.8934669141266403,Q5 (most over-rated),23.77513274570224,5142732800,-677377984,3321211904,737777024.0,-0.04656,0.003,-0.09929,33.954,2.229,1.476,24.5092985,2.8944016,7800,0
